         2227295 function calls (2225323 primitive calls) in 81.414 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      102    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       14    0.001    0.000    0.005    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1354(periodic_ping)
       11    0.000    0.000    0.005    0.000 /home/wolverine/bin/running/backtest_runner3.py:1125(run)
      876    0.001    0.000    0.005    0.000 /home/wolverine/bin/running/pycaitlyn.py:6795(decode_string)
23420/23386    0.005    0.000    0.005    0.000 {built-in method builtins.len}
       81    0.000    0.000    0.005    0.000 /home/wolverine/bin/running/calculatorp3.py:227(__forward_binary_raw)
       24    0.000    0.000    0.005    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1421(_handle_write)
       10    0.000    0.000    0.005    0.000 /home/wolverine/bin/running/calculatorp3.py:102(start)
  111/110    0.003    0.000    0.005    0.000 {built-in method builtins.__build_class__}
      265    0.001    0.000    0.004    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/overrides.py:142(decorator)
       77    0.000    0.000    0.004    0.000 /usr/lib/python3.10/typing.py:1247(__hash__)
      884    0.002    0.000    0.004    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:707(<lambda>)
      355    0.003    0.000    0.004    0.000 /usr/lib/python3.10/selectors.py:235(register)
      876    0.004    0.000    0.004    0.000 {built-in method _pycaitlyn.NetPackage_decode_string}
      880    0.001    0.000    0.004    0.000 /home/wolverine/bin/running/pycaitlyn.py:6753(__init__)
     1872    0.003    0.000    0.004    0.000 /usr/lib/python3.10/typing.py:986(__setattr__)
      211    0.002    0.000    0.004    0.000 /usr/lib/python3.10/typing.py:206(_collect_type_vars)
3652/3630    0.001    0.000    0.004    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
      177    0.001    0.000    0.004    0.000 /home/wolverine/bin/running/calculator3.py:860(_write_to_logicq)
      122    0.000    0.000    0.004    0.000 /usr/lib/python3.10/asyncio/futures.py:309(_set_result_unless_cancelled)
      877    0.003    0.000    0.004    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:317(__put_internal)
        9    0.000    0.000    0.004    0.000 /home/wolverine/bin/running/backtest_runner3.py:1106(start)
      797    0.003    0.000    0.004    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:180(full)
        5    0.000    0.000    0.004    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/http1connection.py:581(_parse_headers)
      133    0.001    0.000    0.004    0.000 /home/wolverine/bin/running/calculatorp3.py:1349(send)
        4    0.001    0.000    0.004    0.001 /home/wolverine/bin/running/backtest_runner3.py:595(start_backtest)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/traceback.py:181(format_exc)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/traceback.py:124(format_exception)
     3297    0.003    0.000    0.004    0.000 /usr/lib/python3.10/asyncio/base_events.py:696(time)
        5    0.000    0.000    0.004    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/httputil.py:291(parse)
       27    0.000    0.000    0.004    0.000 /home/wolverine/bin/running/pycaitlyn.py:3677(__getitem__)
       27    0.003    0.000    0.003    0.000 {built-in method _pycaitlyn.Uint32ToByteArrayMap___getitem__}
      140    0.001    0.000    0.003    0.000 /usr/lib/python3.10/asyncio/base_events.py:727(call_at)
       86    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        8    0.000    0.000    0.003    0.000 /home/wolverine/bin/running/calculatorp3.py:999(start)
      137    0.001    0.000    0.003    0.000 /home/wolverine/bin/running/calculatorp3.py:1319(_write)
        5    0.000    0.000    0.003    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/http1connection.py:384(write_headers)
       41    0.000    0.000    0.003    0.000 /usr/lib/python3.10/typing.py:1083(copy_with)
      208    0.001    0.000    0.003    0.000 /usr/lib/python3.10/typing.py:947(__init__)
       65    0.000    0.000    0.003    0.000 /usr/lib/python3.10/json/__init__.py:183(dumps)
      157    0.001    0.000    0.003    0.000 /home/wolverine/bin/running/calculator3.py:1458(_pack_binary_raw)
      102    0.000    0.000    0.003    0.000 /home/wolverine/bin/running/calculator3.py:806(_write)
       86    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.003    0.003 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/numeric.py:1(<module>)
       97    0.000    0.000    0.003    0.000 /usr/lib/python3.10/re.py:288(_compile)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/traceback.py:489(__init__)
        5    0.000    0.000    0.003    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1194(start_tls)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/traceback.py:338(extract)
      137    0.002    0.000    0.003    0.000 /home/wolverine/bin/running/calculatorp3.py:957(pack_binary_raw)
        1    0.000    0.000    0.003    0.003 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/npyio.py:1(<module>)
       65    0.001    0.000    0.003    0.000 /usr/lib/python3.10/json/encoder.py:182(encode)
      230    0.001    0.000    0.003    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/overrides.py:83(verify_matching_signatures)
      884    0.002    0.000    0.003    0.000 /usr/lib/python3.10/functools.py:818(dispatch)
