         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      667    0.008    0.000    0.008    0.000 {built-in method _pycaitlyn.IndexMeta_get_fields}
     3125    0.006    0.000    0.008    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_schema.py:15349(__init__)
      652    0.004    0.000    0.008    0.000 /usr/lib/python3.10/asyncio/queues.py:150(get)
       23    0.000    0.000    0.008    0.000 {built-in method builtins.print}
     1442    0.006    0.000    0.007    0.000 /home/wolverine/bin/running/calculatorp3.py:905(on_data)
    64188    0.007    0.000    0.007    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.007    0.007 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_array_like.py:1(<module>)
     3079    0.007    0.000    0.007    0.000 {method 'strftime' of 'datetime.date' objects}
      381    0.003    0.000    0.007    0.000 /usr/lib/python3.10/asyncio/queues.py:138(put_nowait)
    46876    0.005    0.000    0.007    0.000 /home/wolverine/bin/running/pycaitlyn.py:6928(get_pos)
    47069    0.005    0.000    0.007    0.000 /home/wolverine/bin/running/pycaitlyn.py:6940(get_type)
        3    0.000    0.000    0.007    0.002 /home/wolverine/bin/running/calculator3.py:633(recycle_loop)
        1    0.000    0.000    0.007    0.007 /home/wolverine/bin/running/pycaitlyn.py:11667(set_compressor)
        1    0.007    0.007    0.007    0.007 {built-in method _pycaitlyn.TCDataCommunication_set_compressor}
        1    0.006    0.006    0.006    0.006 {built-in method gc.collect}
       80    0.000    0.000    0.006    0.000 /usr/lib/python3.10/typing.py:1247(__hash__)
   158264    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
       89    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       33    0.000    0.000    0.006    0.000 /usr/lib/python3.10/re.py:249(compile)
  116/115    0.001    0.000    0.006    0.000 {built-in method builtins.__build_class__}
       81    0.001    0.000    0.006    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:175(update_handler)
    94/90    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       17    0.000    0.000    0.006    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
        1    0.000    0.000    0.006    0.006 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/npyio.py:1(<module>)
     4304    0.004    0.000    0.006    0.000 /home/wolverine/bin/running/strategyc3.py:1080(_take_margin)
       89    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
      863    0.003    0.000    0.006    0.000 /usr/lib/python3.10/asyncio/base_events.py:772(_call_soon)
     1596    0.003    0.000    0.006    0.000 /home/wolverine/bin/running/composite_strategyc3.py:105(_sync)
     5482    0.005    0.000    0.005    0.000 /home/wolverine/bin/running/strategyc3.py:1200(calc_stats)
    60649    0.005    0.000    0.005    0.000 {built-in method _pycaitlyn.StructValue_get_granularity}
        1    0.000    0.000    0.005    0.005 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:1(<module>)
     3125    0.003    0.000    0.005    0.000 /usr/lib/python3.10/threading.py:359(notify)
       95    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.005    0.005 /home/wolverine/bin/running/pycaitlyn.py:7118(metas)
